vdm	Ix(M2:SOURCE)
Step Information: V2=500m  (Run: 1/3)
-1.299999999999998e-001	-1.133094e-009
-1.199999999999998e-001	-1.568433e-009
-1.099999999999999e-001	-2.153825e-009
-9.999999999999985e-002	-2.927398e-009
-8.999999999999986e-002	-3.928540e-009
-7.999999999999986e-002	-5.193505e-009
-6.999999999999987e-002	-6.750197e-009
-5.999999999999987e-002	-8.613315e-009
-4.999999999999986e-002	-1.078103e-008
-3.999999999999986e-002	-1.323391e-008
-2.999999999999986e-002	-1.593593e-008
-1.999999999999986e-002	-1.883707e-008
-9.999999999999858e-003	-2.187666e-008
1.422473250300982e-016	-2.498699e-008
1.000000000000014e-002	-2.809686e-008
2.000000000000014e-002	-3.113508e-008
3.000000000000015e-002	-3.403390e-008
4.000000000000015e-002	-3.673265e-008
5.000000000000015e-002	-3.918135e-008
6.000000000000015e-002	-4.134409e-008
7.000000000000015e-002	-4.320167e-008
8.000000000000014e-002	-4.475258e-008
9.000000000000014e-002	-4.601188e-008
1.000000000000001e-001	-4.700780e-008
1.100000000000001e-001	-4.777684e-008
1.200000000000001e-001	-4.835850e-008
1.300000000000001e-001	-4.879091e-008
1.400000000000001e-001	-4.910795e-008
1.500000000000001e-001	-4.933791e-008
1.600000000000001e-001	-4.950335e-008
1.700000000000002e-001	-4.962165e-008
1.800000000000002e-001	-4.970587e-008
1.900000000000002e-001	-4.976564e-008
2.000000000000002e-001	-4.980796e-008
2.100000000000002e-001	-4.983788e-008
2.200000000000002e-001	-4.985900e-008
2.300000000000002e-001	-4.987390e-008
2.400000000000002e-001	-4.988441e-008
2.500000000000002e-001	-4.989182e-008
2.600000000000002e-001	-4.989704e-008
2.700000000000002e-001	-4.990072e-008
2.800000000000003e-001	-4.990331e-008
2.900000000000003e-001	-4.990513e-008
3.000000000000000e-001	-4.990642e-008
Step Information: V2=2.5  (Run: 3/3)
-3.000000000000000e-001	-1.092540e-011
-2.900000000000000e-001	-1.228606e-011
-2.800000000000000e-001	-1.420811e-011
-2.700000000000000e-001	-1.692380e-011
-2.600000000000000e-001	-2.075966e-011
-2.499999999999999e-001	-2.617649e-011
-2.399999999999999e-001	-3.382362e-011
-2.299999999999999e-001	-4.461523e-011
-2.199999999999999e-001	-5.983668e-011
-2.099999999999999e-001	-8.129199e-011
-1.999999999999999e-001	-1.115068e-010
-1.899999999999999e-001	-1.540047e-010
-1.799999999999999e-001	-2.136782e-010
-1.699999999999999e-001	-2.972747e-010
-1.599999999999999e-001	-4.140137e-010
-1.499999999999999e-001	-5.763314e-010
-1.399999999999999e-001	-8.007091e-010
-1.299999999999998e-001	-1.108467e-009
-1.199999999999998e-001	-1.526299e-009
-1.099999999999999e-001	-2.086195e-009
-9.999999999999985e-002	-2.824314e-009
-8.999999999999986e-002	-3.778456e-009
-7.999999999999986e-002	-4.984075e-009
-6.999999999999987e-002	-6.469353e-009
-5.999999999999987e-002	-8.250336e-009
-4.999999999999986e-002	-1.032732e-008
-3.999999999999986e-002	-1.268323e-008
-2.999999999999986e-002	-1.528424e-008
-1.999999999999986e-002	-1.808200e-008
-9.999999999999858e-003	-2.101692e-008
1.422473250300982e-016	-2.402190e-008
1.000000000000014e-002	-2.702608e-008
2.000000000000014e-002	-2.995863e-008
3.000000000000015e-002	-3.275253e-008
4.000000000000015e-002	-3.534835e-008
5.000000000000015e-002	-3.769799e-008
6.000000000000015e-002	-3.976794e-008
7.000000000000015e-002	-4.154159e-008
8.000000000000014e-002	-4.301970e-008
9.000000000000014e-002	-4.421873e-008
1.000000000000001e-001	-4.516718e-008
1.100000000000001e-001	-4.590069e-008
1.200000000000001e-001	-4.645706e-008
1.300000000000001e-001	-4.687235e-008
1.400000000000001e-001	-4.717837e-008
1.500000000000001e-001	-4.740165e-008
1.600000000000001e-001	-4.756332e-008
1.700000000000002e-001	-4.767973e-008
1.800000000000002e-001	-4.776321e-008
1.900000000000002e-001	-4.782290e-008
2.000000000000002e-001	-4.786548e-008
2.100000000000002e-001	-4.789581e-008
2.200000000000002e-001	-4.791740e-008
2.300000000000002e-001	-4.793275e-008
2.400000000000002e-001	-4.794366e-008
2.500000000000002e-001	-4.795141e-008
2.600000000000002e-001	-4.795692e-008
2.700000000000002e-001	-4.796084e-008
2.800000000000003e-001	-4.796361e-008
2.900000000000003e-001	-4.796559e-008
3.000000000000000e-001	-4.796699e-008
