iin	I(Iin)	I(V1)
2.009999999999991e-006	2.010000e-006	2.169596e-006
2.019999999999991e-006	2.020000e-006	2.180237e-006
2.029999999999991e-006	2.030000e-006	2.190876e-006
2.039999999999991e-006	2.040000e-006	2.201516e-006
2.049999999999991e-006	2.050000e-006	2.212154e-006
2.059999999999990e-006	2.060000e-006	2.222792e-006
2.069999999999990e-006	2.070000e-006	2.233430e-006
2.079999999999990e-006	2.080000e-006	2.244066e-006
2.089999999999990e-006	2.090000e-006	2.254702e-006
2.099999999999990e-006	2.100000e-006	2.265338e-006
2.109999999999990e-006	2.110000e-006	2.275973e-006
2.119999999999990e-006	2.120000e-006	2.286607e-006
2.129999999999990e-006	2.130000e-006	2.297241e-006
2.139999999999990e-006	2.140000e-006	2.307874e-006
2.149999999999990e-006	2.150000e-006	2.318506e-006
2.159999999999990e-006	2.160000e-006	2.329138e-006
2.169999999999989e-006	2.170000e-006	2.339769e-006
2.179999999999989e-006	2.180000e-006	2.350400e-006
2.189999999999989e-006	2.190000e-006	2.361030e-006
2.199999999999989e-006	2.200000e-006	2.371659e-006
2.209999999999989e-006	2.210000e-006	2.382288e-006
2.219999999999989e-006	2.220000e-006	2.392916e-006
2.229999999999989e-006	2.230000e-006	2.403544e-006
2.239999999999989e-006	2.240000e-006	2.414171e-006
2.249999999999989e-006	2.250000e-006	2.424797e-006
2.259999999999989e-006	2.260000e-006	2.435424e-006
2.269999999999988e-006	2.270000e-006	2.446049e-006
2.279999999999988e-006	2.280000e-006	2.456674e-006
2.289999999999988e-006	2.290000e-006	2.467298e-006
2.299999999999988e-006	2.300000e-006	2.477921e-006
2.309999999999988e-006	2.310000e-006	2.488545e-006
2.319999999999988e-006	2.320000e-006	2.499167e-006
2.329999999999988e-006	2.330000e-006	2.509789e-006
2.339999999999988e-006	2.340000e-006	2.520411e-006
2.349999999999988e-006	2.350000e-006	2.531031e-006
2.359999999999988e-006	2.360000e-006	2.541652e-006
2.369999999999988e-006	2.370000e-006	2.552272e-006
2.379999999999987e-006	2.380000e-006	2.562891e-006
2.389999999999987e-006	2.390000e-006	2.573509e-006
2.399999999999987e-006	2.400000e-006	2.584128e-006
2.409999999999987e-006	2.410000e-006	2.594745e-006
2.419999999999987e-006	2.420000e-006	2.605362e-006
2.429999999999987e-006	2.430000e-006	2.615979e-006
2.439999999999987e-006	2.440000e-006	2.626595e-006
2.449999999999987e-006	2.450000e-006	2.637210e-006
2.459999999999987e-006	2.460000e-006	2.647825e-006
2.469999999999987e-006	2.470000e-006	2.658440e-006
2.479999999999986e-006	2.480000e-006	2.669054e-006
2.489999999999986e-006	2.490000e-006	2.679667e-006
2.499999999999986e-006	2.500000e-006	2.690280e-006
2.509999999999986e-006	2.510000e-006	2.700892e-006
2.519999999999986e-006	2.520000e-006	2.711504e-006
2.529999999999986e-006	2.530000e-006	2.722115e-006
2.539999999999986e-006	2.540000e-006	2.732726e-006
2.549999999999986e-006	2.550000e-006	2.743337e-006
2.559999999999986e-006	2.560000e-006	2.753947e-006
2.569999999999986e-006	2.570000e-006	2.764556e-006
2.579999999999986e-006	2.580000e-006	2.775165e-006
2.589999999999985e-006	2.590000e-006	2.785773e-006
2.599999999999985e-006	2.600000e-006	2.796381e-006
2.609999999999985e-006	2.610000e-006	2.806988e-006
2.619999999999985e-006	2.620000e-006	2.817595e-006
2.629999999999985e-006	2.630000e-006	2.828201e-006
2.639999999999985e-006	2.640000e-006	2.838807e-006
2.649999999999985e-006	2.650000e-006	2.849412e-006
2.659999999999985e-006	2.660000e-006	2.860017e-006
2.669999999999985e-006	2.670000e-006	2.870622e-006
2.679999999999985e-006	2.680000e-006	2.881226e-006
2.689999999999984e-006	2.690000e-006	2.891829e-006
2.699999999999984e-006	2.700000e-006	2.902432e-006
2.709999999999984e-006	2.710000e-006	2.913034e-006
2.719999999999984e-006	2.720000e-006	2.923636e-006
2.729999999999984e-006	2.730000e-006	2.934238e-006
2.739999999999984e-006	2.740000e-006	2.944839e-006
2.749999999999984e-006	2.750000e-006	2.955440e-006
2.759999999999984e-006	2.760000e-006	2.966040e-006
2.769999999999984e-006	2.770000e-006	2.976640e-006
2.779999999999984e-006	2.780000e-006	2.987239e-006
2.789999999999984e-006	2.790000e-006	2.997837e-006
2.799999999999983e-006	2.800000e-006	3.008436e-006
2.809999999999983e-006	2.810000e-006	3.019034e-006
2.819999999999983e-006	2.820000e-006	3.029631e-006
2.829999999999983e-006	2.830000e-006	3.040228e-006
2.839999999999983e-006	2.840000e-006	3.050824e-006
2.849999999999983e-006	2.850000e-006	3.061420e-006
2.859999999999983e-006	2.860000e-006	3.072016e-006
2.869999999999983e-006	2.870000e-006	3.082611e-006
2.879999999999983e-006	2.880000e-006	3.093206e-006
2.889999999999983e-006	2.890000e-006	3.103800e-006
2.899999999999982e-006	2.900000e-006	3.114393e-006
2.909999999999982e-006	2.910000e-006	3.124987e-006
2.919999999999982e-006	2.920000e-006	3.135580e-006
2.929999999999982e-006	2.930000e-006	3.146172e-006
2.939999999999982e-006	2.940000e-006	3.156764e-006
2.949999999999982e-006	2.950000e-006	3.167356e-006
2.959999999999982e-006	2.960000e-006	3.177947e-006
2.969999999999982e-006	2.970000e-006	3.188537e-006
2.979999999999982e-006	2.980000e-006	3.199128e-006
2.989999999999982e-006	2.990000e-006	3.209718e-006
2.999999999999981e-006	3.000000e-006	3.220307e-006
3.009999999999981e-006	3.010000e-006	3.230896e-006
3.019999999999981e-006	3.020000e-006	3.241485e-006
3.029999999999981e-006	3.030000e-006	3.252073e-006
3.039999999999981e-006	3.040000e-006	3.262660e-006
3.049999999999981e-006	3.050000e-006	3.273248e-006
3.059999999999981e-006	3.060000e-006	3.283835e-006
3.069999999999981e-006	3.070000e-006	3.294421e-006
3.079999999999981e-006	3.080000e-006	3.305007e-006
3.089999999999981e-006	3.090000e-006	3.315592e-006
3.099999999999981e-006	3.100000e-006	3.326178e-006
3.109999999999980e-006	3.110000e-006	3.336763e-006
3.119999999999980e-006	3.120000e-006	3.347347e-006
3.129999999999980e-006	3.130000e-006	3.357931e-006
3.139999999999980e-006	3.140000e-006	3.368514e-006
3.149999999999980e-006	3.150000e-006	3.379098e-006
3.159999999999980e-006	3.160000e-006	3.389680e-006
3.169999999999980e-006	3.170000e-006	3.400263e-006
3.179999999999980e-006	3.180000e-006	3.410845e-006
3.189999999999980e-006	3.190000e-006	3.421426e-006
3.199999999999980e-006	3.200000e-006	3.432007e-006
3.209999999999979e-006	3.210000e-006	3.442588e-006
3.219999999999979e-006	3.220000e-006	3.453168e-006
3.229999999999979e-006	3.230000e-006	3.463748e-006
3.239999999999979e-006	3.240000e-006	3.474328e-006
3.249999999999979e-006	3.250000e-006	3.484907e-006
3.259999999999979e-006	3.260000e-006	3.495485e-006
3.269999999999979e-006	3.270000e-006	3.506064e-006
3.279999999999979e-006	3.280000e-006	3.516642e-006
3.289999999999979e-006	3.290000e-006	3.527219e-006
3.299999999999979e-006	3.300000e-006	3.537796e-006
3.309999999999979e-006	3.310000e-006	3.548373e-006
3.319999999999978e-006	3.320000e-006	3.558949e-006
3.329999999999978e-006	3.330000e-006	3.569525e-006
