vout	Ix(U1:DRAIN)
5.100000000000002e-001	-1.082617e-006
5.200000000000002e-001	-1.082453e-006
5.300000000000003e-001	-1.082289e-006
5.400000000000003e-001	-1.082124e-006
5.500000000000003e-001	-1.081959e-006
5.600000000000003e-001	-1.081794e-006
5.700000000000003e-001	-1.081629e-006
5.800000000000003e-001	-1.081464e-006
5.900000000000003e-001	-1.081298e-006
6.000000000000003e-001	-1.081132e-006
6.100000000000003e-001	-1.080966e-006
6.200000000000003e-001	-1.080800e-006
6.300000000000003e-001	-1.080633e-006
6.400000000000004e-001	-1.080466e-006
6.500000000000004e-001	-1.080299e-006
6.600000000000004e-001	-1.080132e-006
6.700000000000004e-001	-1.079964e-006
6.800000000000004e-001	-1.079797e-006
6.900000000000004e-001	-1.079629e-006
7.000000000000004e-001	-1.079461e-006
7.100000000000004e-001	-1.079292e-006
7.200000000000004e-001	-1.079124e-006
7.300000000000004e-001	-1.078955e-006
7.400000000000004e-001	-1.078786e-006
7.500000000000004e-001	-1.078616e-006
7.600000000000005e-001	-1.078447e-006
7.700000000000005e-001	-1.078277e-006
7.800000000000005e-001	-1.078107e-006
7.900000000000005e-001	-1.077937e-006
8.000000000000005e-001	-1.077766e-006
8.100000000000005e-001	-1.077595e-006
8.200000000000005e-001	-1.077424e-006
8.300000000000005e-001	-1.077253e-006
8.400000000000005e-001	-1.077082e-006
8.500000000000005e-001	-1.076910e-006
8.600000000000005e-001	-1.076738e-006
8.700000000000006e-001	-1.076566e-006
8.800000000000006e-001	-1.076394e-006
8.900000000000006e-001	-1.076221e-006
9.000000000000006e-001	-1.076048e-006
9.100000000000006e-001	-1.075875e-006
9.200000000000006e-001	-1.075701e-006
9.300000000000006e-001	-1.075528e-006
9.400000000000006e-001	-1.075354e-006
9.500000000000006e-001	-1.075180e-006
9.600000000000006e-001	-1.075005e-006
9.700000000000006e-001	-1.074831e-006
9.800000000000007e-001	-1.074656e-006
9.900000000000007e-001	-1.074480e-006
1.000000000000001e+000	-1.074305e-006
1.010000000000001e+000	-1.074129e-006
1.020000000000001e+000	-1.073953e-006
1.030000000000001e+000	-1.073777e-006
1.040000000000001e+000	-1.073601e-006
1.050000000000001e+000	-1.073424e-006
1.060000000000001e+000	-1.073247e-006
1.070000000000001e+000	-1.073070e-006
1.080000000000001e+000	-1.072892e-006
1.090000000000001e+000	-1.072715e-006
1.100000000000001e+000	-1.072537e-006
1.110000000000001e+000	-1.072358e-006
1.120000000000001e+000	-1.072180e-006
1.130000000000001e+000	-1.072001e-006
1.140000000000001e+000	-1.071822e-006
1.150000000000001e+000	-1.071642e-006
1.160000000000001e+000	-1.071463e-006
1.170000000000001e+000	-1.071283e-006
1.180000000000001e+000	-1.071103e-006
1.190000000000001e+000	-1.070922e-006
1.200000000000001e+000	-1.070741e-006
1.210000000000001e+000	-1.070560e-006
1.220000000000001e+000	-1.070379e-006
1.230000000000001e+000	-1.070198e-006
1.240000000000001e+000	-1.070016e-006
1.250000000000001e+000	-1.069834e-006
1.260000000000001e+000	-1.069651e-006
1.270000000000001e+000	-1.069469e-006
1.280000000000001e+000	-1.069286e-006
1.290000000000001e+000	-1.069102e-006
1.300000000000001e+000	-1.068919e-006
1.310000000000001e+000	-1.068735e-006
1.320000000000001e+000	-1.068551e-006
1.330000000000001e+000	-1.068366e-006
1.340000000000001e+000	-1.068182e-006
1.350000000000001e+000	-1.067997e-006
1.360000000000001e+000	-1.067811e-006
1.370000000000001e+000	-1.067626e-006
1.380000000000001e+000	-1.067440e-006
1.390000000000001e+000	-1.067254e-006
1.400000000000001e+000	-1.067067e-006
1.410000000000001e+000	-1.066881e-006
1.420000000000001e+000	-1.066694e-006
1.430000000000001e+000	-1.066506e-006
1.440000000000001e+000	-1.066319e-006
1.450000000000001e+000	-1.066131e-006
1.460000000000001e+000	-1.065942e-006
1.470000000000001e+000	-1.065754e-006
1.480000000000001e+000	-1.065565e-006
1.490000000000001e+000	-1.065376e-006
1.500000000000001e+000	-1.065186e-006
1.510000000000001e+000	-1.064996e-006
1.520000000000001e+000	-1.064806e-006
1.530000000000001e+000	-1.064616e-006
1.540000000000001e+000	-1.064425e-006
1.550000000000001e+000	-1.064234e-006
1.560000000000001e+000	-1.064043e-006
1.570000000000001e+000	-1.063851e-006
1.580000000000001e+000	-1.063659e-006
